# Local self energy at real frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
3.960000 2.300675 -1.187983 2.300675 -1.187983 
3.990000 2.314364 -1.182704 2.314364 -1.182704 
4.020000 2.327799 -1.177146 2.327799 -1.177146 
4.050000 2.340975 -1.171321 2.340975 -1.171321 
4.080000 2.353888 -1.165241 2.353888 -1.165241 
4.110000 2.366534 -1.158920 2.366534 -1.158920 
4.140000 2.378909 -1.152370 2.378909 -1.152370 
4.170000 2.391011 -1.145603 2.391011 -1.145603 
4.200000 2.402838 -1.138633 2.402838 -1.138633 
4.230000 2.414389 -1.131470 2.414389 -1.131470 
4.260000 2.425661 -1.124127 2.425661 -1.124127 
4.290000 2.436655 -1.116616 2.436655 -1.116616 
4.320000 2.447370 -1.108947 2.447370 -1.108947 
4.350000 2.457807 -1.101133 2.457807 -1.101133 
4.380000 2.467967 -1.093184 2.467967 -1.093184 
4.410000 2.477851 -1.085110 2.477851 -1.085110 
4.440000 2.487460 -1.076921 2.487460 -1.076921 
4.470000 2.496796 -1.068629 2.496796 -1.068629 
4.500000 2.505861 -1.060241 2.505861 -1.060241 
4.530000 2.514658 -1.051768 2.514658 -1.051768 
4.560000 2.523190 -1.043219 2.523190 -1.043219 
4.590000 2.531459 -1.034601 2.531459 -1.034601 
4.620000 2.539469 -1.025924 2.539469 -1.025924 
4.650000 2.547223 -1.017196 2.547223 -1.017196 
4.680000 2.554725 -1.008424 2.554725 -1.008424 
4.710000 2.561978 -0.999615 2.561978 -0.999615 
4.740000 2.568986 -0.990778 2.568986 -0.990778 
4.770000 2.575754 -0.981917 2.575754 -0.981917 
4.800000 2.582285 -0.973040 2.582285 -0.973040 
4.830000 2.588584 -0.964153 2.588584 -0.964153 
4.860000 2.594654 -0.955262 2.594654 -0.955262 
4.890000 2.600502 -0.946373 2.600502 -0.946373 
4.920000 2.606129 -0.937489 2.606129 -0.937489 
4.950000 2.611543 -0.928618 2.611543 -0.928618 
4.980000 2.616746 -0.919763 2.616746 -0.919763 
5.010000 2.621743 -0.910929 2.621743 -0.910929 
5.040000 2.626539 -0.902119 2.626539 -0.902119 
5.070000 2.631138 -0.893339 2.631138 -0.893339 
5.100000 2.635545 -0.884592 2.635545 -0.884592 
5.130000 2.639765 -0.875881 2.639765 -0.875881 
5.160000 2.643801 -0.867209 2.643801 -0.867209 
5.190000 2.647659 -0.858581 2.647659 -0.858581 
5.220000 2.651343 -0.849998 2.651343 -0.849998 
5.250000 2.654856 -0.841463 2.654856 -0.841463 
5.280000 2.658204 -0.832979 2.658204 -0.832979 
5.310000 2.661391 -0.824549 2.661391 -0.824549 
5.340000 2.664421 -0.816174 2.664421 -0.816174 
5.370000 2.667297 -0.807856 2.667297 -0.807856 
5.400000 2.670025 -0.799597 2.670025 -0.799597 
5.430000 2.672609 -0.791399 2.672609 -0.791399 
5.460000 2.675051 -0.783264 2.675051 -0.783264 
5.490000 2.677357 -0.775192 2.677357 -0.775192 
5.520000 2.679530 -0.767186 2.679530 -0.767186 
5.550000 2.681574 -0.759246 2.681574 -0.759246 
5.580000 2.683492 -0.751374 2.683492 -0.751374 
5.610000 2.685288 -0.743569 2.685288 -0.743569 
5.640000 2.686966 -0.735834 2.686966 -0.735834 
5.670000 2.688529 -0.728169 2.688529 -0.728169 
5.700000 2.689981 -0.720574 2.689981 -0.720574 
5.730000 2.691324 -0.713050 2.691324 -0.713050 
5.760000 2.692563 -0.705597 2.692563 -0.705597 
5.790000 2.693700 -0.698217 2.693700 -0.698217 
5.820000 2.694738 -0.690908 2.694738 -0.690908 
5.850000 2.695681 -0.683672 2.695681 -0.683672 
5.880000 2.696532 -0.676508 2.696532 -0.676508 
5.910000 2.697292 -0.669417 2.697292 -0.669417 
5.940000 2.697966 -0.662399 2.697966 -0.662399 
5.970000 2.698556 -0.655453 2.698556 -0.655453 
6.000000 2.699064 -0.648580 2.699064 -0.648580 
