# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
4.290000 0.039272 0.039272 0.039272 0.039272
4.320000 0.038621 0.038621 0.038621 0.038621
4.350000 0.037980 0.037980 0.037980 0.037980
4.380000 0.037348 0.037348 0.037348 0.037348
4.410000 0.036725 0.036725 0.036725 0.036725
4.440000 0.036112 0.036112 0.036112 0.036112
4.470000 0.035508 0.035508 0.035508 0.035508
4.500000 0.034914 0.034914 0.034914 0.034914
4.530000 0.034329 0.034329 0.034329 0.034329
4.560000 0.033754 0.033754 0.033754 0.033754
4.590000 0.033189 0.033189 0.033189 0.033189
4.620000 0.032633 0.032633 0.032633 0.032633
4.650000 0.032087 0.032087 0.032087 0.032087
4.680000 0.031550 0.031550 0.031550 0.031550
4.710000 0.031023 0.031023 0.031023 0.031023
4.740000 0.030506 0.030506 0.030506 0.030506
4.770000 0.029998 0.029998 0.029998 0.029998
4.800000 0.029500 0.029500 0.029500 0.029500
4.830000 0.029011 0.029011 0.029011 0.029011
4.860000 0.028531 0.028531 0.028531 0.028531
4.890000 0.028061 0.028061 0.028061 0.028061
4.920000 0.027600 0.027600 0.027600 0.027600
4.950000 0.027147 0.027147 0.027147 0.027147
4.980000 0.026704 0.026704 0.026704 0.026704
5.010000 0.026269 0.026269 0.026269 0.026269
5.040000 0.025843 0.025843 0.025843 0.025843
5.070000 0.025426 0.025426 0.025426 0.025426
5.100000 0.025016 0.025016 0.025016 0.025016
5.130000 0.024615 0.024615 0.024615 0.024615
5.160000 0.024222 0.024222 0.024222 0.024222
5.190000 0.023837 0.023837 0.023837 0.023837
5.220000 0.023460 0.023460 0.023460 0.023460
5.250000 0.023090 0.023090 0.023090 0.023090
5.280000 0.022728 0.022728 0.022728 0.022728
5.310000 0.022373 0.022373 0.022373 0.022373
5.340000 0.022026 0.022026 0.022026 0.022026
5.370000 0.021685 0.021685 0.021685 0.021685
5.400000 0.021351 0.021351 0.021351 0.021351
5.430000 0.021024 0.021024 0.021024 0.021024
5.460000 0.020704 0.020704 0.020704 0.020704
5.490000 0.020390 0.020390 0.020390 0.020390
